activity_daily_movement,activity_high,activity_inactive,activity_score,activity_score_meet_daily_targets,activity_score_move_every_hour,activity_steps,activity_total
6266,4,400,80,25,100,6588,238
7561,2,417,80,25,100,8032,274
8341,11,550,71,1,100,8550,285
10089,4,457,84,43,100,10364,311
3278,0,556,81,43,95,3710,170
6697,2,469,83,43,100,8429,246
2923,4,523,82,43,95,3763,179
4281,5,535,82,43,100,4766,192
7950,3,381,83,43,100,7942,269
3793,3,442,79,25,100,4425,201
11092,6,385,80,25,100,10959,289
2900,2,473,78,25,100,3367,157
8721,5,486,78,25,100,9155,303
6597,14,567,77,25,100,7219,287
9142,6,502,83,43,100,9275,304
4486,2,423,81,43,100,4950,218
5261,6,510,82,43,100,6213,249
10137,3,524,82,43,100,10363,352
8694,3,439,83,43,95,8715,296
9079,5,514,86,60,100,8928,308
7825,6,324,85,60,100,7837,234
3503,6,574,76,43,100,4102,164
8845,4,400,89,60,100,8454,257
3760,3,371,89,60,100,4943,255
9120,6,432,86,60,95,9706,312
9140,5,433,93,78,100,9539,326
8016,4,296,93,78,100,8105,283
8924,5,426,94,95,100,9133,305
7231,4,461,90,95,100,7246,227
8626,10,486,92,78,100,10156,280
6425,3,454,87,60,95,7932,210
7797,5,450,83,43,100,7639,255
8973,3,440,84,43,100,8920,273
9754,5,404,88,60,100,9895,283
7295,6,562,84,60,100,8518,232
4853,3,374,83,60,100,6134,297
8252,4,363,88,60,100,8431,287
7815,6,436,88,60,100,8163,273
8068,1,408,87,60,100,7880,238
7722,3,508,83,60,100,7975,250
3317,2,495,76,43,100,3879,175
9290,3,408,89,60,100,9698,319
2494,2,478,88,60,100,3320,170
6875,4,529,82,43,100,7295,240
3926,6,579,80,43,95,4797,202
5613,3,466,83,43,100,6735,227
7394,3,380,79,25,100,8208,258
6540,2,417,80,25,100,7683,225
8684,20,494,78,25,100,9728,233
3158,2,415,78,25,100,3846,191
9489,3,389,85,43,100,9318,259
11115,7,504,96,95,100,13538,398
8677,4,504,95,95,100,10662,275
11462,8,518,94,95,100,14611,396
11332,3,499,93,100,100,14299,402
13264,11,539,90,100,100,15780,436
11588,5,529,93,100,100,15080,422
11895,5,568,89,100,100,15183,366
8164,6,635,86,100,100,10507,320
6465,2,587,93,100,78,8225,221
9099,3,476,97,100,100,12150,342
8287,2,625,95,100,100,11233,345
7531,2,579,95,100,95,10605,293
7759,4,699,93,100,100,10749,298
8096,1,510,97,100,100,11070,316
7426,2,629,93,95,95,10520,307
2373,2,580,94,95,100,3608,152
8160,3,632,93,95,100,11272,332
8341,2,592,91,95,78,11584,344
8399,8,574,94,95,100,11164,319
7586,2,711,91,95,95,10476,325
3529,2,563,90,78,100,5216,191
8695,3,511,95,95,100,11765,307
5927,0,588,93,95,95,8040,193
8251,2,582,94,95,100,11249,305
7980,3,723,91,95,100,10661,276
